License State,Adverse Actions For Sexual Misconduct
California,701
Texas,593
Washington,566
Florida,515
Arizona,368
Oregon,211
Colorado,207
Ohio,204
Maryland,200
North Carolina,196
Minnesota,196
Wisconsin,186
Virginia,182
Michigan,182
New York,179
Nevada,164
Utah,143
Kentucky,125
Oklahoma,117
Illinois,106
Louisiana,98
Missouri,95
Connecticut,94
Iowa,92
Pennsylvania,91
Indiana,91
New Jersey,90
Kansas,90
Massachusetts,87
Georgia,80
South Carolina,79
Tennessee,71
Alabama,71
Maine,67
Idaho,47
Arkansas,43
West Virginia,41
Montana,40
New Hampshire,39
Wyoming,37
Nebraska,36
New Mexico,35
Vermont,34
Mississippi,31
District of Columbia,31
Rhode Island,29
Hawaii,27
North Dakota,26
South Dakota,24
Delaware,20
Alaska,15